ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
02027,9859,686,6000,14098,322,1379
02094,9859,470,6000,14098,322,
02095,9859,470,6000,14098,322,
02096,9859,470,6000,14098,322,7671
03880,9859,470,6000,14099,3639,
02078,9859,469,6000,14099,3639,
02083,9859,469,6000,14099,3639,1970
02084,9859,469,6000,14099,3639,
02089,9859,469,6000,14099,3639,
03403,9860,2095,6000,14100,20,405
02035,9860,1816,6000,14100,20,4151
02069,9860,1138,6000,14100,20,238
02070,9860,919,6000,14100,20,
02021,9860,686,6000,14101,3956,
02044,9860,632,6000,14101,3956,
02087,9860,367,6000,14101,3956,38
02017,9860,347,6000,14101,3956,11725
02045,9861,5088,6000,14102,82,880
02058,9861,824,6000,14102,82,3324
03406,9861,2088,6000,14103,3909,
04510,9862,3476,6000,14104,614,3688
04271,9862,1904,6000,14104,614,
02037,9862,1138,6000,14105,3371,5384
03690,9862,750,6000,14105,3371,
04487,9862,732,6000,14105,3371,
